concept_a,concept_b,source_syllabus,order_delta,ai_suggested_label,confirmed_label,reason,embedding_similarity,keyword_overlap
Fourier series of even and odd functions,Raw moments,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,4,0,,Low sim=0.045 -- no semantic relation,0.0454,0.0
Quadratic forms,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,10,0,,Low sim=0.116 -- no semantic relation,0.1161,0.0
Dirichlet’s conditions,Fourier series of periodic,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,1,0,,"Insufficient signal: sim=0.171, delta=1, kw=0.000",0.1715,0.0
Linear Block Code,Flow Control: Stop-and-Wait Flow Control,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,2,0,,"Insufficient signal: sim=0.173, delta=2, kw=0.000",0.1731,0.0
Selection of Scheduling,Algorithms  for  different  situations,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,0,,"Insufficient signal: sim=0.456, delta=1, kw=0.000",0.4562,0.0
Introduction to Congruence,Moment generating function,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,8,0,,Low sim=0.055 -- no semantic relation,0.0546,0.0
Fourier series of periodic,Moment generating function,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,4,0,,"Insufficient signal: sim=0.174, delta=4, kw=0.000",0.1743,0.0
Functions ofSquare Matrix,Theorem to evaluate realintegrations,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,2,0,,Low sim=0.065 -- no semantic relation,0.0648,0.0
Basic and Feasible solutions,Fourier series of periodic,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,8,0,,Low sim=-0.073 -- no semantic relation,-0.0731,0.0
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Fourier series of periodic,6.41N-A-I-AI-DS-Sem-III-IV.pdf,14,0,,Low sim=0.050 -- no semantic relation,0.0501,0.0714
Inspired and Multi,Objective Swarm Optimization,SEM-V.pdf,1,0,,"Insufficient signal: sim=0.230, delta=1, kw=0.000",0.2301,0.0
"Overview of SQL, Data Definition Commands","Concurrent Executions, Serializability",6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,4,0,,Low sim=0.117 -- no semantic relation,0.1166,0.0
Application of congruence-RSA algorithm,Raw moments,6.41N-A-I-AI-DS-Sem-III-IV.pdf,7,0,,Low sim=0.032 -- no semantic relation,0.0321,0.0
Linear congruence,Complex form of Fourier Series,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,5,0,,Low sim=0.074 -- no semantic relation,0.0738,0.0
Relationship (EER) Model,"Overview of SQL, Data Definition Commands",6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,4,0,,Low sim=0.118 -- no semantic relation,0.1176,0.0
Cayley-Hamilton,Linear and Non-Linear Programming Problems,6.41N-A-I-AI-DS-Sem-III-IV.pdf,4,0,,Low sim=-0.070 -- no semantic relation,-0.0703,0.0
Relationship (EER) Model,"Pitfalls in relational database designs, Concept",6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,7,0,,"Insufficient signal: sim=0.327, delta=7, kw=0.000",0.3273,0.0
React DevTools,Custom Hooks creation,SEM-V.pdf,1,0,,Low sim=0.082 -- no semantic relation,0.0819,0.0
Fundamentals of Distributed Operating System,Real-Time,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,2,0,,"Insufficient signal: sim=0.259, delta=2, kw=0.000",0.2594,0.0
Quadratic forms,Simplex method,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,5,0,,"Insufficient signal: sim=0.179, delta=5, kw=0.000",0.1793,0.0
Cayley-Hamilton,Linear congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,12,0,,delta=12>=10 -- too distant to claim direct prerequisite,0.2145,0.0
Relationship (EER) Model,"Introduction to the Relational Model, relational",6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,2,0,,"Insufficient signal: sim=0.518, delta=2, kw=0.143",0.5185,0.1429
Real-time,Implementation of Page,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,1,0,,Low sim=0.142 -- no semantic relation,0.1423,0.0
"DevOps: Introduction, DevOps - Importance","Agility, DevOps and Continuous Testing",SEM-V.pdf,2,1,,High sim=0.618 + foundational kw in A + delta=2,0.618,0.1429
Kuhn-Tucker conditions,Linear congruence,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,2,0,,Low sim=-0.039 -- no semantic relation,-0.0388,0.0
Screening equipment – Vibrating screen,Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,,Low sim=-0.040 -- no semantic relation,-0.0396,0.0
Medium Access Control,Self-Study Topics,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,5,0,,Low sim=0.053 -- no semantic relation,0.0534,0.0
Types of solutions,Basic and Feasible solutions,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,2,0,,"Insufficient signal: sim=0.479, delta=2, kw=0.167",0.479,0.1667
Linear and Non-Linear Programming Problems,Simplex method,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,4,0,,"Insufficient signal: sim=0.223, delta=4, kw=0.000",0.2234,0.0
