concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,ai_suggested_label,embedding_similarity,keyword_overlap,reason
Cayley-Hamilton,Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.318,0.0,Adjacent same-course topics: delta=1 + sim=0.318
Cayley-Hamilton,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,1,0.2718,0.0,Adjacent same-course topics: delta=2 + sim=0.272
Cayley-Hamilton,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.1908,0.0,"No prereq signal: sim=0.191, delta=3, kw=0.000"
Cayley-Hamilton,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,-0.0703,0.0,Low sim=-0.070 - no semantic relation
Cayley-Hamilton,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.0693,0.0,Low sim=0.069 - no semantic relation
Cayley-Hamilton,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.1027,0.0,Low sim=0.103 - no semantic relation
Cayley-Hamilton,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.0012,0.0,Low sim=0.001 - no semantic relation
Cayley-Hamilton,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.0414,0.0,Low sim=0.041 - no semantic relation
Cayley-Hamilton,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.0767,0.0,Low sim=0.077 - no semantic relation
Cayley-Hamilton,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.0109,0.0,Low sim=0.011 - no semantic relation
Cayley-Hamilton,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.1471,0.0,Low sim=0.147 - no semantic relation
Cayley-Hamilton,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.2145,0.0,delta=12>=12 + sim=0.214<0.45 - far + weakly related
Cayley-Hamilton,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,0.0894,0.0,Low sim=0.089 - no semantic relation
Cayley-Hamilton,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,-0.0433,0.0,Low sim=-0.043 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,1,0.378,0.16666666666666666,Foundational kw in A + sim=0.378 + delta=1
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,1,0.3275,0.0,Foundational kw in A + sim=0.327 + delta=2
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,0,0.2021,0.14285714285714285,"No prereq signal: sim=0.202, delta=3, kw=0.143"
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,0,0.0988,0.07692307692307693,Low sim=0.099 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,0,0.1691,0.14285714285714285,"No prereq signal: sim=0.169, delta=5, kw=0.143"
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,0,0.1148,0.07142857142857142,Low sim=0.115 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,0,0.1524,0.0,"No prereq signal: sim=0.152, delta=7, kw=0.000"
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,0,0.0919,0.0,Low sim=0.092 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,0,0.0756,0.0,Low sim=0.076 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,0,0.0743,0.0,Low sim=0.074 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,0,0.2843,0.08333333333333333,"No prereq signal: sim=0.284, delta=11, kw=0.083"
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,0,0.1457,0.06666666666666667,Low sim=0.146 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,0,-0.0551,0.0,Low sim=-0.055 - no semantic relation
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Fourier series of periodic,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,0,0.0501,0.07142857142857142,Low sim=0.050 - no semantic relation
Similarity of matrices,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,0,0.1835,0.0,"No prereq signal: sim=0.184, delta=1, kw=0.000"
Similarity of matrices,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,0,0.0555,0.0,Low sim=0.056 - no semantic relation
