concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,embedding_similarity,keyword_overlap,ai_suggested_label
Circuits: (Only independent sources) Kirchhoff’s,Ideal and Practical Voltage and Current,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.284,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Mesh and Nodal,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.2285,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Analysis (no super node and super mesh) Star-Delta /,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.1934,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Delta-Star Transformations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,4,1,0.1475,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Thevenin’s Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,5,1,0.2025,0.125,0
Circuits: (Only independent sources) Kirchhoff’s,Maximum Power Transfer Theorem,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,6,1,0.2153,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,AC Circuits: Generation of alternating voltage,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,7,1,0.3304,0.0909,0
Circuits: (Only independent sources) Kirchhoff’s,Single-phase ac series,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,8,1,0.2464,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,RLC combinations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,9,1,0.2475,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Series and parallel,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,10,1,0.1963,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Single Phase Transformer: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,11,1,0.1232,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Transformer losses,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,12,1,0.1149,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Single-Phase induction motors,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,13,1,0.0924,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Special Purpose Diodes: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,14,1,0.1938,0.0,0
Circuits: (Only independent sources) Kirchhoff’s,Introduction to Transistors: (Numerical are not,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,15,1,0.2824,0.0,0
Ideal and Practical Voltage and Current,Mesh and Nodal,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,1,1,0.1116,0.1429,0
Ideal and Practical Voltage and Current,Analysis (no super node and super mesh) Star-Delta /,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,2,1,0.0492,0.0833,0
Ideal and Practical Voltage and Current,Delta-Star Transformations,6.14N-CSE-AIML.pdf,ESC102,Basic Electrical and Electronics Engineering,3,1,0.0173,0.0,0
