concept_a,concept_b,source_syllabus,order_delta,label,reason,domain_match,Course_Code,course_name,embedding_similarity,keyword_overlap
Properties of Eigen,Similarity of matrices,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,Adjacent same-course topics: delta=1 + sim=0.341,1.0,,,0.3413,0.2
Properties of Eigen,Diagonalization of matrices,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,1,Adjacent same-course topics: delta=2 + sim=0.505,1.0,,,0.5046,0.2
Properties of Eigen,Applying to chemical engineering problems related,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,0.0755,0.0
Properties of Eigen,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0025,0.0
Properties of Eigen,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0783,0.0
Properties of Eigen,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,6,0,Insufficient signal,1.0,,,0.0695,0.125
Properties of Eigen,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,7,0,Insufficient signal,1.0,,,0.0263,0.0
Properties of Eigen,Corrector Method to chemical engineering,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,8,0,Insufficient signal,1.0,,,-0.0166,0.0
Properties of Eigen,Forward and Backward difference operators ∆,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,9,0,Insufficient signal,1.0,,,0.1639,0.0
Properties of Eigen,Shift operator E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,10,0,Insufficient signal,1.0,,,0.2273,0.0
Properties of Eigen,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,11,0,Insufficient signal,1.0,,,0.2857,0.0
Similarity of matrices,Diagonalization of matrices,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,1,1,kw_overlap=0.500>=0.30 + delta=1<=6,1.0,,,0.5227,0.5
Similarity of matrices,Applying to chemical engineering problems related,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2,0,Insufficient signal,1.0,,,0.0178,0.0
Similarity of matrices,Eulers method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,3,0,Insufficient signal,1.0,,,-0.0183,0.0
Similarity of matrices,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,4,0,Insufficient signal,1.0,,,0.0057,0.0
Similarity of matrices,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,5,0,Insufficient signal,1.0,,,0.0246,0.125
