concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,bucket,your_label
Simplex method,Introduction to Congruence,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,2113111,Mathematics for Computer Engineering,3,1,it_training,
Standard and Canonical of LPP,Fourier series of even and odd functions,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,2173111,Mathematics for Computer Engineering,10,1,it_training,
Basic and Feasible solutions,Artificial variables,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2483111,Mathematics for Computer Engineering,2,1,it_training,
Languages in Compiler Design,Nondeterministic Finite Automata (NFA): Definitions,6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,2494111,Computational,1,1,it_training,
Application of congruence-RSA algorithm,Dirichlet’s conditions,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,2173111,Mathematics for Computer Engineering,1,1,it_training,
Mixing equipment for cohesive solids,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,9,1,diversity_training,
Solid fluid,Sedimentation: Batch sedimentation. Kynch,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,1,1,diversity_training,
Analytics:  Key Roles for a Successful,Roles in Industry,SEM-V.pdf,2166112,Data Analytics and Visualization,3,1,it_training,
Linear congruence,Raw moments,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,2023111,Mathematics for Computer Engineering,8,1,it_training,
Eulers method,Kutta second Order method,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2073111,Chemical Engineering Mathematics,1,1,diversity_training,
Relationship (EER) Model,"Concurrent Executions, Serializability",6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,2174112,Database Management System,8,1,it_training,
Mixers for free flowing solids: Ribbon,"Conveying, of solids: Belt conveyer, bucket",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,8,1,diversity_training,
Real-Time,Special-purpose Operating Systems,6.39-N-B.E.-Data-Science-Sem-III-IV.pdf,2174113,Operating System,2,1,it_training,
Decision properties of RLs,Nondeterministic Finite Automata (NFA): Definitions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2014111,Computational,5,1,it_training,
Size reduction equipment – Jaw crusher,Fluidization: conditions for fluidization,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,7,1,diversity_training,
Applications of Runge-Kutta Fourth order,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2073111,Chemical Engineering Mathematics,5,1,diversity_training,
Size reduction of solids. Mechanism of size,Solid mixing – Introduction to solid mixing,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,3,1,diversity_training,
Relationship (EER) Model,"Generalization, Specialization and Aggregation",6.54-N-B.E-Computer-Science-EngineeringSem-III-IV.pdf,2494112,Database Management System,1,1,it_training,
Fluidization: conditions for fluidization,Solid fluid,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,1,1,diversity_training,
Mixing equipment for cohesive solids,Storage of solids: Properties of particulate,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,8,1,diversity_training,
Similarity of matrices,Applications of Runge-Kutta Fourth order,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2073111,Chemical Engineering Mathematics,5,1,diversity_training,
Quadratic forms,Introduction to Congruence,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2483111,Mathematics for Computer Engineering,8,1,it_training,
Vending machines,"Counting Pigeonhole Principle, Inclusion-Exclusion Principle. Recurrence relations, Solving recurrence relations",6.21-N-B.E.-AI-ML-sem-III-IV.pdf,2023112,Discrete Structures and Graph,1,1,it_training,
Size reduction of solids. Mechanism of size,Mixing equipment for cohesive solids,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,4,1,diversity_training,
Simplex method,Complex form of Fourier Series,6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,2113111,Mathematics for Computer Engineering,9,1,it_training,
Similarity of matrices,Artificial variables,6.21-N-B.E.-AI-ML-sem-III-IV.pdf,2023111,Mathematics for Computer Engineering,7,1,it_training,
Languages in Compiler Design,Nondeterministic Finite Automata (NFA): Definitions,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2484111,Computational,1,1,it_training,
Kutta second Order method,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2073111,Chemical Engineering Mathematics,2,1,diversity_training,
Applications of Runge-Kutta Fourth order,Method and Adam Bashford Predictor,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2073111,Chemical Engineering Mathematics,1,1,diversity_training,
Shift operator E,Relation between E,6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2073111,Chemical Engineering Mathematics,1,1,diversity_training,
Types of solutions,Application of congruence-RSA algorithm,6.41N-A-I-AI-DS-Sem-III-IV.pdf,2483111,Mathematics for Computer Engineering,8,1,it_training,
Grizzlies and Trommels,"Hammer mill, Ball mill and Roll crusher",6.40-N-Chemical-Engineering-Sem-III-IV.pdf,2074112,Solid Fluid Mechanical Operations,3,1,diversity_training,
"Pitfalls in relational database designs, Concept","Concurrent Executions, Serializability",6.24-N-B.E.-Computer-Engineering-Sem-III-IV.pdf,2114112,Database Management System,1,1,it_training,
