concept_a,concept_b,source_syllabus,Course_Code,course_name,order_delta,domain_match,label,embedding_similarity,keyword_overlap,suggested_label,reason
Cayley-Hamilton,Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.318,0.0,1,Adjacent topics: delta=1 + sim=0.318
Cayley-Hamilton,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.2718,0.0,1,Adjacent topics: delta=2 + sim=0.272
Cayley-Hamilton,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.1908,0.0,0,No signal: sim=0.191 delta=3 kw=0.000
Cayley-Hamilton,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,-0.0703,0.0,0,Low sim=-0.070
Cayley-Hamilton,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.0693,0.0,0,Low sim=0.069
Cayley-Hamilton,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.1027,0.0,0,Low sim=0.103
Cayley-Hamilton,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.0012,0.0,0,Low sim=0.001
Cayley-Hamilton,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.0414,0.0,0,Low sim=0.041
Cayley-Hamilton,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.0767,0.0,0,Low sim=0.077
Cayley-Hamilton,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.0109,0.0,0,Low sim=0.011
Cayley-Hamilton,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,11,1,,0.1471,0.0,0,Low sim=0.147
Cayley-Hamilton,Linear congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,12,1,,0.2145,0.0,0,Far apart: delta=12 + sim=0.214
Cayley-Hamilton,Application of congruence-RSA algorithm,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,13,1,,0.0894,0.0,0,Low sim=0.089
Cayley-Hamilton,Dirichlet’s conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,14,1,,-0.0433,0.0,0,Low sim=-0.043
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Similarity of matrices,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,1,1,,0.378,0.1667,1,Foundational kw + sim=0.378 + delta=1
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Quadratic forms,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,2,1,,0.3275,0.0,1,Foundational kw + sim=0.327 + delta=2
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Linear and Non-Linear Programming Problems,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,3,1,,0.2021,0.1429,0,No signal: sim=0.202 delta=3 kw=0.143
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Types of solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,4,1,,0.0988,0.0769,0,Low sim=0.099
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Standard and Canonical of LPP,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,5,1,,0.1691,0.1429,0,No signal: sim=0.169 delta=5 kw=0.143
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Basic and Feasible solutions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,6,1,,0.1148,0.0714,0,Low sim=0.115
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Simplex method,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,7,1,,0.1524,0.0,0,No signal: sim=0.152 delta=7 kw=0.000
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Artificial variables,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,8,1,,0.0919,0.0,0,Low sim=0.092
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Kuhn-Tucker conditions,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,9,1,,0.0756,0.0,0,Low sim=0.076
Linear Algebra (Theory of Matrices) verification and reduction of higher degree polynomials,Introduction to Congruence,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,2013111,Mathematics for Computer Engineering,10,1,,0.0743,0.0,0,Low sim=0.074
