concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label
Structure of a switch,Packet Switch,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4673,3,1,0.2,1
"Database System Concepts, Architecture",File system v/s Database,2343113,Database,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5864,2,1,0.2857,1
Structure of a switch,Error Control: Stop-and-Wait ARQ,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0427,12,1,0.0,0
Regular operations,Regular Language,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.463,3,1,0.3333,1
Agile Quality,Testing: Principles of Agile Testers,2165113,Agile Software,SEM-V.pdf,0.6001,4,1,0.1667,1
Fourier Series,Complex form of Fourier Series,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.7554,5,1,0.4,1
Data Analytics life cycle,Types of analytics,2166112,Data Analytics,SEM-V.pdf,0.5176,2,1,0.1667,1
Decision properties of RLs,Natural Language Processing (NLP),2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1308,6,1,0.0,0
Fourier series of even and odd functions,Poisson Distribution,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0486,12,1,0.0,0
Types of solutions,Artificial variables,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2761,8,1,0.0,1
Types of analytics,Data Analytics,2166112,Data Analytics,SEM-V.pdf,0.6715,5,1,0.25,1
Fundamentals of Distributed Operating System,Special-purpose Operating Systems,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.6744,8,1,0.125,1
Standard Ethernet,Gigabit Ethernet,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6922,2,1,0.3333,1
Space Division Switching,Packet Switch,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3184,2,1,0.0,1
Introduction to Congruence,Linear congruence,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.6781,1,1,0.25,1
Poisson Distribution,Normal Distribution,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.4918,1,1,0.3333,1
Regular Expression,Languages in Compiler Design,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1574,8,1,0.0,0
Statistical Techniques,Normal Distribution,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2314,10,1,0.0,0
Data Analytics life cycle,Data Analytics,2166112,Data Analytics,SEM-V.pdf,0.6709,7,1,0.5,1
Quadratic forms,Linear congruence,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2821,14,1,0.0,0
Open-source and Proprietary Operating System,Network Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.5509,2,1,0.2857,1
Pumping lemma,Text Processing,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1676,4,1,0.0,0
"Database System Concepts, Architecture",Data abstraction and Data Independence,2343113,Database,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3827,3,1,0.0,1
Sliding Window,Medium Access Control,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1783,5,1,0.0,0
Statistical Techniques,Raw moments,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2129,8,1,0.0,0
Linear congruence,Application of congruence-RSA algorithm,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.5786,3,1,0.1667,1
Regular operations,Languages in Compiler Design,2014111,Computational,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.2045,9,1,0.0,0
